iter	Passed	Remaining
151	5711	87516
152	5741	87366
153	5774	87259
154	5809	87178
155	5840	87052
156	5873	86946
157	5899	86741
158	5973	87241
159	6005	87116
160	6031	86918
161	6067	86858
162	6100	86749
163	6130	86615
164	6164	86534
165	6193	86373
166	6237	86426
167	6265	86266
168	6297	86156
169	6322	85942
170	6354	85841
171	6385	85721
172	6416	85608
173	6442	85418
174	6471	85282
175	6505	85205
176	6537	85093
177	6565	84945
178	6604	84936
179	6637	84843
180	6667	84725
181	6702	84659
182	6730	84521
183	6764	84446
184	6788	84256
185	6820	84159
186	6853	84070
187	6884	83965
188	6911	83812
189	6937	83650
190	6973	83610
191	7006	83531
192	7030	83343
193	7063	83267
194	7096	83196
195	7121	83019
196	7151	82916
197	7180	82790
198	7206	82636
199	7233	82503
200	7267	82439
201	7292	82279
202	7329	82249
203	7363	82188
204	7396	82122
205	7432	82082
206	7462	81975
207	7496	81920
208	7528	81839
209	7559	81750
210	7587	81628
211	7621	81575
212	7652	81479
213	7678	81338
214	7707	81229
215	7733	81094
216	7762	80982
217	7793	80902
218	7822	80798
219	7853	80711
220	7873	80520
221	7904	80432
222	7936	80361
223	7974	80346
224	8005	80270
225	8044	80269
226	8068	80118
227	8092	79965
228	8113	79790
229	8144	79707
230	8177	79646
231	8204	79530
232	8237	79472
233	8273	79444
234	8306	79388
235	8350	79435
236	8374	79293
237	8407	79232
238	8433	79110
239	8462	79019
240	8485	78869
241	8517	78800
242	8547	78725
243	8580	78662
244	8613	78612
245	8638	78485
246	8671	78425
247	8699	78331
248	8729	78248
249	8756	78142
250	8780	78006
251	8810	77934
252	8839	77842
253	8870	77772
254	8899	77688
255	8924	77567
256	8960	77539
257	8982	77399
258	9011	77312
259	9042	77247
260	9072	77164
261	9103	77098
262	9130	77004
263	9160	76930
264	9187	76825
265	9206	76664
266	9228	76520
267	9252	76400
268	9276	76280
269	9307	76215
270	9338	76154
271	9368	76085
272	9392	75966
273	9417	75857
274	9444	75765
275	9470	75662
276	9496	75559
277	9524	75475
278	9559	75445
279	9586	75354
280	9610	75239
281	9649	75249
282	9675	75150
283	9707	75096
284	9737	75031
285	9776	75030
286	9800	74923
287	9829	74846
288	9857	74764
289	9883	74670
290	9903	74534
291	9923	74393
292	9946	74277
293	9970	74170
294	9994	74058
295	10023	73987
296	10052	73923
297	10085	73882
298	10112	73798
299	10137	73701
300	10159	73581
301	10181	73460
302	10203	73343
303	10240	73333
304	10276	73320
305	10304	73241
306	10333	73173
307	10354	73054
308	10385	72998
309	10424	73003
310	10457	72969
311	10479	72851
312	10503	72753
313	10526	72643
314	10643	73183
315	10670	73109
316	10696	73021
317	10730	72985
318	10760	72930
319	10788	72853
320	10818	72794
321	10845	72718
322	10875	72659
323	10902	72581
324	10926	72487
325	10954	72415
326	10976	72302
327	11000	72204
328	11031	72160
329	11053	72048
330	11093	72060
331	11116	71955
332	11141	71870
333	11162	71756
334	11193	71706
335	11224	71656
336	11253	71595
337	11281	71524
338	11312	71476
339	11356	71511
340	11380	71422
341	11404	71327
342	11438	71296
343	11466	71230
344	11487	71123
345	11510	71023
346	11536	70947
347	11560	70855
348	11581	70750
349	11613	70707
350	11651	70704
351	11676	70622
352	11707	70574
353	11738	70528
354	11759	70422
355	11779	70314
356	11797	70191
357	11825	70125
358	11856	70085
359	11880	69997
360	11901	69890
361	11932	69847
362	11963	69804
363	11982	69691
364	12009	69620
365	12034	69541
366	12054	69436
367	12087	69402
368	12108	69303
369	12134	69231
370	12171	69222
371	12196	69149
372	12220	69061
373	12244	68980
374	12262	68863
375	12277	68732
376	12303	68664
377	12329	68593
378	12352	68508
379	12383	68470
380	12408	68391
381	12428	68290
382	12475	68338
383	12500	68264
384	12526	68198
385	12555	68145
386	12581	68076
387	12611	68029
388	12637	67961
389	12659	67874
390	12680	67778
391	12710	67735
392	12771	67854
393	12792	67763
394	12818	67693
395	12845	67631
396	12877	67600
397	12909	67562
398	12932	67483
399	12956	67408
400	12994	67403
